Economy,Year,Economy Code,Proportion of seats held by women in national parliaments (%)
Honduras,2017,HND,
"Hong Kong SAR, China",2017,HKG,
Hungary,2017,HUN,10.050
Iceland,2017,ISL,38.095
India,2017,IND,11.808
Indonesia,2017,IDN,19.821
"Iran, Islamic Rep.",2017,IRN,5.882
Iraq,2017,IRQ,25.305
Ireland,2017,IRL,22.152
Isle of Man,2017,IMN,
Israel,2017,ISR,27.500
Italy,2017,ITA,30.952
Jamaica,2017,JAM,17.460
Japan,2017,JPN,10.108
Jordan,2017,JOR,15.385
Kazakhstan,2017,KAZ,27.103
Kenya,2017,KEN,21.777
Kiribati,2017,KIR,6.522
"Korea, Dem. People's Rep.",2017,PRK,16.303
"Korea, Rep.",2017,KOR,17.000
Kosovo,2017,XKX,
Kuwait,2017,KWT,3.077
Kyrgyz Republic,2017,KGZ,19.167
Lao PDR,2017,LAO,27.517
Latvia,2017,LVA,16.000
Lebanon,2017,LBN,3.125
Lesotho,2017,LSO,22.131
Liberia,2017,LBR,9.859
Libya,2017,LBY,15.957
Liechtenstein,2017,LIE,12.000
Lithuania,2017,LTU,21.277
Luxembourg,2017,LUX,28.333
"Macao SAR, China",2017,MAC,
Madagascar,2017,MDG,19.205
Malawi,2017,MWI,16.667
Malaysia,2017,MYS,10.360
Maldives,2017,MDV,5.882
Mali,2017,MLI,8.844
Malta,2017,MLT,11.940
Marshall Islands,2017,MHL,9.091
Mauritania,2017,MRT,25.170
Mauritius,2017,MUS,11.594
Mexico,2017,MEX,42.600
"Micronesia, Fed. Sts.",2017,FSM,0.000
Moldova,2017,MDA,22.772
Monaco,2017,MCO,20.833
Mongolia,2017,MNG,17.105
Montenegro,2017,MNE,23.457
Morocco,2017,MAR,20.506
Mozambique,2017,MOZ,39.600
Myanmar,2017,MMR,10.162
Namibia,2017,NAM,41.346
Nauru,2017,NRU,10.526
Nepal,2017,NPL,29.580
Netherlands,2017,NLD,36.000
New Caledonia,2017,NCL,
New Zealand,2017,NZL,38.333
Nicaragua,2017,NIC,45.652
Niger,2017,NER,16.959
Nigeria,2017,NGA,5.556
North Macedonia,2017,MKD,37.500
Northern Mariana Islands,2017,MNP,
Norway,2017,NOR,41.420
Oman,2017,OMN,1.176
Pakistan,2017,PAK,20.588
Palau,2017,PLW,12.500
Panama,2017,PAN,18.310
Papua New Guinea,2017,PNG,0.000
Paraguay,2017,PRY,13.750
Peru,2017,PER,27.692
Philippines,2017,PHL,29.452
Poland,2017,POL,28.043
Portugal,2017,PRT,34.783
Puerto Rico,2017,PRI,
Qatar,2017,QAT,9.756
Romania,2017,ROU,20.669
Russian Federation,2017,RUS,15.778
Rwanda,2017,RWA,61.250
Samoa,2017,WSM,10.000
San Marino,2017,SMR,26.667
Sao Tome and Principe,2017,STP,18.182
Saudi Arabia,2017,SAU,19.868
Senegal,2017,SEN,41.818
Serbia,2017,SRB,34.400
Seychelles,2017,SYC,21.212
Sierra Leone,2017,SLE,12.397
Singapore,2017,SGP,23.000
Sint Maarten (Dutch part),2017,SXM,
Slovak Republic,2017,SVK,20.000
Slovenia,2017,SVN,36.667
Solomon Islands,2017,SLB,2.000
Somalia,2017,SOM,24.364
South Africa,2017,ZAF,41.837
South Sudan,2017,SSD,28.460
Spain,2017,ESP,39.143
Sri Lanka,2017,LKA,5.778
St. Kitts and Nevis,2017,KNA,13.333
St. Lucia,2017,LCA,16.667
St. Martin (French part),2017,MAF,
St. Vincent and the Grenadines,2017,VCT,13.043
Sudan,2017,SDN,30.516
Suriname,2017,SUR,25.490
Sweden,2017,SWE,43.553
Switzerland,2017,CHE,32.500
Syrian Arab Republic,2017,SYR,13.200
Tajikistan,2017,TJK,19.048
Tanzania,2017,TZA,37.179
Thailand,2017,THA,4.800
Timor-Leste,2017,TLS,32.308
Togo,2017,TGO,17.582
Tonga,2017,TON,7.692
Trinidad and Tobago,2017,TTO,30.952
Tunisia,2017,TUN,31.336
Turkiye,2017,TUR,14.572
Turkmenistan,2017,TKM,25.806
Turks and Caicos Islands,2017,TCA,
Tuvalu,2017,TUV,6.667
Uganda,2017,UGA,34.298
Ukraine,2017,UKR,12.293
United Arab Emirates,2017,ARE,22.500
United Kingdom,2017,GBR,32.000
United States,2017,USA,19.355
Uruguay,2017,URY,20.202
Uzbekistan,2017,UZB,16.000
Vanuatu,2017,VUT,0.000
"Venezuela, RB",2017,VEN,22.156
Vietnam,2017,VNM,26.721
Virgin Islands (U.S.),2017,VIR,
West Bank and Gaza,2017,PSE,
"Yemen, Rep.",2017,YEM,0.000
Zambia,2017,ZMB,17.964
Zimbabwe,2017,ZWE,32.576
