Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Germany,2014,DEU,83.600
Ghana,2014,GHA,64.704
Gibraltar,2014,GIB,85.298
Greece,2014,GRC,84.100
Greenland,2014,GRL,73.330
Grenada,2014,GRD,77.859
Guam,2014,GUM,80.680
Guatemala,2014,GTM,73.625
Guinea,2014,GIN,58.868
Guinea-Bissau,2014,GNB,61.506
Guyana,2014,GUY,71.173
Haiti,2014,HTI,65.625
Honduras,2014,HND,73.527
"Hong Kong SAR, China",2014,HKG,86.850
Hungary,2014,HUN,79.400
Iceland,2014,ISL,84.500
India,2014,IND,70.567
Indonesia,2014,IDN,71.238
"Iran, Islamic Rep.",2014,IRN,77.565
Iraq,2014,IRQ,71.776
Ireland,2014,IRL,83.500
Isle of Man,2014,IMN,81.745
Israel,2014,ISR,84.100
Italy,2014,ITA,85.600
Jamaica,2014,JAM,74.441
Japan,2014,JPN,86.830
Jordan,2014,JOR,76.873
Kazakhstan,2014,KAZ,76.031
Kenya,2014,KEN,63.969
Kiribati,2014,KIR,67.454
"Korea, Dem. People's Rep.",2014,PRK,74.684
"Korea, Rep.",2014,KOR,85.000
Kosovo,2014,XKX,78.501
Kuwait,2014,KWT,80.452
Kyrgyz Republic,2014,KGZ,74.500
Lao PDR,2014,LAO,68.553
Latvia,2014,LVA,79.400
Lebanon,2014,LBN,79.968
Lesotho,2014,LSO,53.252
Liberia,2014,LBR,60.351
Libya,2014,LBY,75.018
Liechtenstein,2014,LIE,83.200
Lithuania,2014,LTU,80.100
Luxembourg,2014,LUX,85.200
"Macao SAR, China",2014,MAC,86.300
Madagascar,2014,MDG,64.910
Malawi,2014,MWI,64.501
Malaysia,2014,MYS,78.061
Maldives,2014,MDV,79.788
Mali,2014,MLI,58.525
Malta,2014,MLT,84.300
Marshall Islands,2014,MHL,67.376
Mauritania,2014,MRT,68.327
Mauritius,2014,MUS,77.580
Mexico,2014,MEX,76.886
"Micronesia, Fed. Sts.",2014,FSM,68.279
Moldova,2014,MDA,74.561
Monaco,2014,MCO,88.097
Mongolia,2014,MNG,75.490
Montenegro,2014,MNE,78.900
Morocco,2014,MAR,74.356
Mozambique,2014,MOZ,59.792
Myanmar,2014,MMR,68.026
Namibia,2014,NAM,62.269
Nauru,2014,NRU,64.149
Nepal,2014,NPL,69.158
Netherlands,2014,NLD,83.500
New Caledonia,2014,NCL,80.091
New Zealand,2014,NZL,83.270
Nicaragua,2014,NIC,75.564
Niger,2014,NER,59.445
Nigeria,2014,NGA,52.306
North Macedonia,2014,MKD,77.500
Northern Mariana Islands,2014,MNP,79.444
Norway,2014,NOR,84.200
Oman,2014,OMN,81.019
Pakistan,2014,PAK,67.817
Palau,2014,PLW,72.666
Panama,2014,PAN,80.685
Papua New Guinea,2014,PNG,67.135
Paraguay,2014,PRY,76.445
Peru,2014,PER,77.576
Philippines,2014,PHL,72.401
Poland,2014,POL,81.700
Portugal,2014,PRT,84.400
Puerto Rico,2014,PRI,83.539
Qatar,2014,QAT,82.448
Romania,2014,ROU,78.700
Russian Federation,2014,RUS,76.470
Rwanda,2014,RWA,67.031
Samoa,2014,WSM,73.404
San Marino,2014,SMR,86.117
Sao Tome and Principe,2014,STP,68.638
Saudi Arabia,2014,SAU,79.210
Senegal,2014,SEN,67.976
Serbia,2014,SRB,78.000
Seychelles,2014,SYC,78.300
Sierra Leone,2014,SLE,55.130
Singapore,2014,SGP,84.800
Sint Maarten (Dutch part),2014,SXM,78.893
Slovak Republic,2014,SVK,80.500
Slovenia,2014,SVN,84.100
Solomon Islands,2014,SLB,70.705
Somalia,2014,SOM,56.557
South Africa,2014,ZAF,66.184
South Sudan,2014,SSD,48.807
Spain,2014,ESP,86.200
Sri Lanka,2014,LKA,79.194
St. Kitts and Nevis,2014,KNA,74.959
St. Lucia,2014,LCA,75.833
St. Martin (French part),2014,MAF,83.432
St. Vincent and the Grenadines,2014,VCT,73.955
Sudan,2014,SDN,66.961
Suriname,2014,SUR,73.753
Sweden,2014,SWE,84.200
Switzerland,2014,CHE,85.400
Syrian Arab Republic,2014,SYR,71.198
Tajikistan,2014,TJK,72.127
Tanzania,2014,TZA,65.596
Thailand,2014,THA,80.497
Timor-Leste,2014,TLS,66.737
Togo,2014,TGO,59.044
Tonga,2014,TON,75.494
Trinidad and Tobago,2014,TTO,75.841
Tunisia,2014,TUN,77.263
Turkiye,2014,TUR,79.582
Turkmenistan,2014,TKM,72.091
Turks and Caicos Islands,2014,TCA,79.402
Tuvalu,2014,TUV,68.644
Uganda,2014,UGA,65.516
Ukraine,2014,UKR,76.818
United Arab Emirates,2014,ARE,83.157
United Kingdom,2014,GBR,83.200
United States,2014,USA,81.300
Uruguay,2014,URY,80.987
Uzbekistan,2014,UZB,73.937
Vanuatu,2014,VUT,72.770
"Venezuela, RB",2014,VEN,77.339
Vietnam,2014,VNM,78.598
Virgin Islands (U.S.),2014,VIR,82.300
West Bank and Gaza,2014,PSE,75.609
"Yemen, Rep.",2014,YEM,70.038
Zambia,2014,ZMB,62.030
Zimbabwe,2014,ZWE,59.508
