Economy,Year,Economy Code,Proportion of seats held by women in national parliaments (%)
French Polynesia,2018,PYF,
Gabon,2018,GAB,
"Gambia, The",2018,GMB,10.345
Georgia,2018,GEO,16.000
Germany,2018,DEU,30.748
Ghana,2018,GHA,12.727
Gibraltar,2018,GIB,
Greece,2018,GRC,18.667
Greenland,2018,GRL,
Grenada,2018,GRD,46.667
Guam,2018,GUM,
Guatemala,2018,GTM,12.658
Guinea,2018,GIN,21.930
Guinea-Bissau,2018,GNB,13.725
Guyana,2018,GUY,31.884
Haiti,2018,HTI,2.542
Honduras,2018,HND,21.094
"Hong Kong SAR, China",2018,HKG,
Hungary,2018,HUN,12.563
Iceland,2018,ISL,38.095
India,2018,IND,11.808
Indonesia,2018,IDN,19.821
"Iran, Islamic Rep.",2018,IRN,5.882
Iraq,2018,IRQ,25.228
Ireland,2018,IRL,22.152
Isle of Man,2018,IMN,
Israel,2018,ISR,27.500
Italy,2018,ITA,35.714
Jamaica,2018,JAM,17.460
Japan,2018,JPN,10.108
Jordan,2018,JOR,15.385
Kazakhstan,2018,KAZ,27.103
Kenya,2018,KEN,21.777
Kiribati,2018,KIR,6.522
"Korea, Dem. People's Rep.",2018,PRK,16.303
"Korea, Rep.",2018,KOR,17.000
Kosovo,2018,XKX,
Kuwait,2018,KWT,3.077
Kyrgyz Republic,2018,KGZ,19.167
Lao PDR,2018,LAO,27.517
Latvia,2018,LVA,31.000
Lebanon,2018,LBN,4.688
Lesotho,2018,LSO,22.131
Liberia,2018,LBR,12.329
Libya,2018,LBY,15.957
Liechtenstein,2018,LIE,12.000
Lithuania,2018,LTU,21.277
Luxembourg,2018,LUX,20.000
"Macao SAR, China",2018,MAC,
Madagascar,2018,MDG,19.205
Malawi,2018,MWI,16.667
Malaysia,2018,MYS,13.901
Maldives,2018,MDV,5.882
Mali,2018,MLI,8.844
Malta,2018,MLT,11.940
Marshall Islands,2018,MHL,9.091
Mauritania,2018,MRT,20.261
Mauritius,2018,MUS,11.594
Mexico,2018,MEX,48.200
"Micronesia, Fed. Sts.",2018,FSM,0.000
Moldova,2018,MDA,22.772
Monaco,2018,MCO,33.333
Mongolia,2018,MNG,17.105
Montenegro,2018,MNE,23.457
Morocco,2018,MAR,20.506
Mozambique,2018,MOZ,39.600
Myanmar,2018,MMR,10.162
Namibia,2018,NAM,46.154
Nauru,2018,NRU,10.526
Nepal,2018,NPL,32.727
Netherlands,2018,NLD,36.000
New Caledonia,2018,NCL,
New Zealand,2018,NZL,38.333
Nicaragua,2018,NIC,45.652
Niger,2018,NER,16.959
Nigeria,2018,NGA,5.556
North Macedonia,2018,MKD,38.333
Northern Mariana Islands,2018,MNP,
Norway,2018,NOR,41.420
Oman,2018,OMN,1.176
Pakistan,2018,PAK,20.235
Palau,2018,PLW,12.500
Panama,2018,PAN,18.310
Papua New Guinea,2018,PNG,0.000
Paraguay,2018,PRY,15.000
Peru,2018,PER,27.692
Philippines,2018,PHL,29.452
Poland,2018,POL,28.043
Portugal,2018,PRT,34.783
Puerto Rico,2018,PRI,
Qatar,2018,QAT,9.756
Romania,2018,ROU,20.669
Russian Federation,2018,RUS,15.778
Rwanda,2018,RWA,61.250
Samoa,2018,WSM,10.000
San Marino,2018,SMR,26.667
Sao Tome and Principe,2018,STP,14.545
Saudi Arabia,2018,SAU,19.868
Senegal,2018,SEN,41.818
Serbia,2018,SRB,34.400
Seychelles,2018,SYC,21.212
Sierra Leone,2018,SLE,12.329
Singapore,2018,SGP,23.000
Sint Maarten (Dutch part),2018,SXM,
Slovak Republic,2018,SVK,20.000
Slovenia,2018,SVN,24.444
Solomon Islands,2018,SLB,2.041
Somalia,2018,SOM,24.364
South Africa,2018,ZAF,42.748
South Sudan,2018,SSD,28.460
Spain,2018,ESP,39.143
Sri Lanka,2018,LKA,5.778
St. Kitts and Nevis,2018,KNA,13.333
St. Lucia,2018,LCA,16.667
St. Martin (French part),2018,MAF,
St. Vincent and the Grenadines,2018,VCT,13.043
Sudan,2018,SDN,30.516
Suriname,2018,SUR,25.490
Sweden,2018,SWE,46.132
Switzerland,2018,CHE,32.500
Syrian Arab Republic,2018,SYR,13.200
Tajikistan,2018,TJK,19.048
Tanzania,2018,TZA,37.179
Thailand,2018,THA,5.285
Timor-Leste,2018,TLS,33.846
Togo,2018,TGO,17.582
Tonga,2018,TON,7.407
Trinidad and Tobago,2018,TTO,30.952
Tunisia,2018,TUN,31.336
Turkiye,2018,TUR,17.450
Turkmenistan,2018,TKM,24.800
Turks and Caicos Islands,2018,TCA,
Tuvalu,2018,TUV,6.667
Uganda,2018,UGA,34.298
Ukraine,2018,UKR,12.293
United Arab Emirates,2018,ARE,22.500
United Kingdom,2018,GBR,32.154
United States,2018,USA,23.502
Uruguay,2018,URY,20.202
Uzbekistan,2018,UZB,16.000
Vanuatu,2018,VUT,0.000
"Venezuela, RB",2018,VEN,22.156
Vietnam,2018,VNM,26.721
Virgin Islands (U.S.),2018,VIR,
West Bank and Gaza,2018,PSE,
"Yemen, Rep.",2018,YEM,0.000
Zambia,2018,ZMB,17.964
Zimbabwe,2018,ZWE,31.481
