Economy,Year,Economy Code,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
South Africa,2019,ZAF,53.273
South Sudan,2019,SSD,101.054
Spain,2019,ESP,5.867
Sri Lanka,2019,LKA,15.602
St. Kitts and Nevis,2019,KNA,39.623
St. Lucia,2019,LCA,30.831
St. Martin (French part),2019,MAF,14.900
St. Vincent and the Grenadines,2019,VCT,53.182
Sudan,2019,SDN,72.653
Suriname,2019,SUR,53.196
Sweden,2019,SWE,3.291
Switzerland,2019,CHE,1.992
Syrian Arab Republic,2019,SYR,41.151
Tajikistan,2019,TJK,46.924
Tanzania,2019,TZA,118.798
Thailand,2019,THA,31.210
Timor-Leste,2019,TLS,30.482
Togo,2019,TGO,81.607
Tonga,2019,TON,25.256
Trinidad and Tobago,2019,TTO,37.987
Tunisia,2019,TUN,6.111
Turkiye,2019,TUR,17.535
Turkmenistan,2019,TKM,25.683
Turks and Caicos Islands,2019,TCA,19.129
Tuvalu,2019,TUV,31.566
Uganda,2019,UGA,114.989
Ukraine,2019,UKR,16.636
United Arab Emirates,2019,ARE,3.292
United Kingdom,2019,GBR,11.064
United States,2019,USA,16.202
Uruguay,2019,URY,33.065
Uzbekistan,2019,UZB,22.159
Vanuatu,2019,VUT,70.218
"Venezuela, RB",2019,VEN,74.487
Vietnam,2019,VNM,35.258
Virgin Islands (U.S.),2019,VIR,32.171
West Bank and Gaza,2019,PSE,40.399
"Yemen, Rep.",2019,YEM,74.019
Zambia,2019,ZMB,122.903
Zimbabwe,2019,ZWE,98.733
