iso3,country,coef,se,pval,sig,coef_change,base_coef,base_se
IRN,"Iran, Islamic Rep.",-0.006862,0.006753,0.309764,,0.000015,-0.006877,0.006753
ETH,Ethiopia,-0.006860,0.006754,0.309944,,0.000017,-0.006877,0.006753
COD,"Congo, Dem. Rep.",-0.006859,0.006764,0.310727,,0.000018,-0.006877,0.006753
LSO,Lesotho,-0.006859,0.006762,0.310593,,0.000018,-0.006877,0.006753
IDN,Indonesia,-0.006856,0.006755,0.310288,,0.000021,-0.006877,0.006753
KEN,Kenya,-0.006855,0.006755,0.310378,,0.000022,-0.006877,0.006753
GEO,Georgia,-0.006854,0.006755,0.310453,,0.000023,-0.006877,0.006753
VNM,Vietnam,-0.006854,0.006872,0.318724,,0.000023,-0.006877,0.006753
EST,Estonia,-0.006853,0.006750,0.310143,,0.000024,-0.006877,0.006753
GUY,Guyana,-0.006852,0.006742,0.309648,,0.000025,-0.006877,0.006753
MDV,Maldives,-0.006848,0.006735,0.309419,,0.000029,-0.006877,0.006753
MEX,Mexico,-0.006848,0.006746,0.310283,,0.000029,-0.006877,0.006753
MYS,Malaysia,-0.006844,0.006743,0.310321,,0.000033,-0.006877,0.006753
BTN,Bhutan,-0.006844,0.006743,0.310288,,0.000033,-0.006877,0.006753
PAN,Panama,-0.006843,0.006754,0.311205,,0.000034,-0.006877,0.006753
GIN,Guinea,-0.006842,0.006779,0.313012,,0.000035,-0.006877,0.006753
LAO,Lao PDR,-0.006842,0.006748,0.310767,,0.000035,-0.006877,0.006753
BRB,Barbados,-0.006840,0.006760,0.311773,,0.000037,-0.006877,0.006753
MRT,Mauritania,-0.006840,0.006761,0.311879,,0.000037,-0.006877,0.006753
MLT,Malta,-0.006840,0.006747,0.310900,,0.000037,-0.006877,0.006753
PER,Peru,-0.006839,0.006751,0.311201,,0.000038,-0.006877,0.006753
BIH,Bosnia and Herzegovina,-0.006838,0.006755,0.311559,,0.000039,-0.006877,0.006753
CRI,Costa Rica,-0.006837,0.006754,0.311532,,0.000039,-0.006877,0.006753
ZAF,South Africa,-0.006835,0.006746,0.311120,,0.000042,-0.006877,0.006753
IRL,Ireland,-0.006835,0.006751,0.311453,,0.000042,-0.006877,0.006753
NER,Niger,-0.006834,0.006753,0.311658,,0.000043,-0.006877,0.006753
THA,Thailand,-0.006834,0.006711,0.308691,,0.000043,-0.006877,0.006753
JOR,Jordan,-0.006833,0.006753,0.311803,,0.000044,-0.006877,0.006753
MWI,Malawi,-0.006826,0.006750,0.312094,,0.000051,-0.006877,0.006753
URY,Uruguay,-0.006825,0.006754,0.312398,,0.000052,-0.006877,0.006753
MAR,Morocco,-0.006823,0.006745,0.311924,,0.000054,-0.006877,0.006753
TCD,Chad,-0.006821,0.006748,0.312281,,0.000056,-0.006877,0.006753
BHR,Bahrain,-0.006816,0.006782,0.315079,,0.000061,-0.006877,0.006753
SYR,Syrian Arab Republic,-0.006815,0.007067,0.335038,,0.000061,-0.006877,0.006753
RUS,Russian Federation,-0.006809,0.006863,0.321284,,0.000068,-0.006877,0.006753
BLR,Belarus,-0.006809,0.006750,0.313233,,0.000068,-0.006877,0.006753
CHN,China,-0.006805,0.006758,0.314077,,0.000072,-0.006877,0.006753
CZE,Czechia,-0.006798,0.006862,0.322000,,0.000079,-0.006877,0.006753
IRQ,Iraq,-0.006795,0.006766,0.315367,,0.000082,-0.006877,0.006753
