iso3,country,coef,se,pval,sig,coef_change,base_coef,base_se
ZAF,South Africa,-0.005103,0.009463,0.589823,,0.000042,-0.005144,0.009469
POL,Poland,-0.005102,0.009465,0.589895,,0.000042,-0.005144,0.009469
MKD,North Macedonia,-0.005102,0.009468,0.590101,,0.000043,-0.005144,0.009469
RWA,Rwanda,-0.005099,0.009477,0.590632,,0.000046,-0.005144,0.009469
OMN,Oman,-0.005096,0.009475,0.590818,,0.000049,-0.005144,0.009469
DOM,Dominican Republic,-0.005095,0.009460,0.590230,,0.000049,-0.005144,0.009469
MRT,Mauritania,-0.005095,0.009469,0.590622,,0.000049,-0.005144,0.009469
CMR,Cameroon,-0.005093,0.009475,0.590965,,0.000051,-0.005144,0.009469
KEN,Kenya,-0.005090,0.009465,0.590838,,0.000055,-0.005144,0.009469
GUY,Guyana,-0.005086,0.009465,0.591129,,0.000059,-0.005144,0.009469
JAM,Jamaica,-0.005084,0.009468,0.591328,,0.000060,-0.005144,0.009469
IRQ,Iraq,-0.005079,0.009476,0.592092,,0.000066,-0.005144,0.009469
TCD,Chad,-0.005068,0.009477,0.592914,,0.000077,-0.005144,0.009469
GMB,"Gambia, The",-0.005066,0.009456,0.592227,,0.000079,-0.005144,0.009469
MAR,Morocco,-0.005059,0.009472,0.593377,,0.000086,-0.005144,0.009469
DJI,Djibouti,-0.005044,0.009649,0.601206,,0.000100,-0.005144,0.009469
GAB,Gabon,-0.005029,0.009473,0.595562,,0.000115,-0.005144,0.009469
DEU,Germany,-0.005016,0.009609,0.601733,,0.000128,-0.005144,0.009469
YEM,"Yemen, Rep.",-0.005008,0.009592,0.601660,,0.000136,-0.005144,0.009469
ARE,United Arab Emirates,-0.005008,0.009517,0.598833,,0.000137,-0.005144,0.009469
LBR,Liberia,-0.005005,0.009462,0.596902,,0.000139,-0.005144,0.009469
BOL,Bolivia,-0.005003,0.009459,0.596966,,0.000142,-0.005144,0.009469
NLD,Netherlands,-0.004997,0.009631,0.603958,,0.000148,-0.005144,0.009469
AGO,Angola,-0.004971,0.009572,0.603645,,0.000174,-0.005144,0.009469
GIN,Guinea,-0.004951,0.009488,0.601883,,0.000194,-0.005144,0.009469
RUS,Russian Federation,-0.004950,0.009594,0.605958,,0.000195,-0.005144,0.009469
VNM,Viet Nam,-0.004949,0.009754,0.611938,,0.000195,-0.005144,0.009469
NGA,Nigeria,-0.004937,0.009490,0.602953,,0.000207,-0.005144,0.009469
LVA,Latvia,-0.004935,0.009604,0.607466,,0.000210,-0.005144,0.009469
ZMB,Zambia,-0.004906,0.009435,0.603134,,0.000238,-0.005144,0.009469
CZE,Czechia,-0.004904,0.009600,0.609517,,0.000240,-0.005144,0.009469
NPL,Nepal,-0.004889,0.009475,0.605936,,0.000255,-0.005144,0.009469
SYR,Syrian Arab Republic,-0.004857,0.009852,0.622071,,0.000287,-0.005144,0.009469
AZE,Azerbaijan,-0.004760,0.009575,0.619168,,0.000384,-0.005144,0.009469
KGZ,Kyrgyz Republic,-0.004175,0.009783,0.669613,,0.000970,-0.005144,0.009469
SAU,Saudi Arabia,0.003614,0.003324,0.277125,,0.008759,-0.005144,0.009469
