iso3,country,coef,se,pval,sig,coef_change,base_coef,base_se
FJI,Fiji,-0.006898,0.006884,0.316465,,0.000051,-0.006949,0.006877
HND,Honduras,-0.006897,0.006878,0.316105,,0.000052,-0.006949,0.006877
GUY,Guyana,-0.006896,0.006864,0.315250,,0.000053,-0.006949,0.006877
CZE,Czechia,-0.006896,0.006987,0.323843,,0.000054,-0.006949,0.006877
JAM,Jamaica,-0.006888,0.006873,0.316435,,0.000061,-0.006949,0.006877
THA,Thailand,-0.006882,0.006874,0.316938,,0.000068,-0.006949,0.006877
MAR,Morocco,-0.006879,0.006869,0.316777,,0.000070,-0.006949,0.006877
BOL,Bolivia,-0.006877,0.006863,0.316453,,0.000072,-0.006949,0.006877
OMN,Oman,-0.006872,0.006874,0.317682,,0.000078,-0.006949,0.006877
CHL,Chile,-0.006866,0.006879,0.318378,,0.000084,-0.006949,0.006877
LBR,Liberia,-0.006855,0.006860,0.317797,,0.000094,-0.006949,0.006877
HTI,Haiti,-0.006852,0.006883,0.319683,,0.000097,-0.006949,0.006877
GIN,Guinea,-0.006850,0.006908,0.321588,,0.000100,-0.006949,0.006877
TCD,Chad,-0.006848,0.006877,0.319494,,0.000101,-0.006949,0.006877
IRQ,Iraq,-0.006842,0.006877,0.319946,,0.000107,-0.006949,0.006877
ARE,United Arab Emirates,-0.006837,0.006905,0.322268,,0.000112,-0.006949,0.006877
RUS,Russian Federation,-0.006825,0.006978,0.328242,,0.000125,-0.006949,0.006877
GAB,Gabon,-0.006818,0.006864,0.320724,,0.000132,-0.006949,0.006877
SYR,Syrian Arab Republic,-0.006811,0.007187,0.343454,,0.000138,-0.006949,0.006877
NPL,Nepal,-0.006807,0.006870,0.321894,,0.000142,-0.006949,0.006877
YEM,"Yemen, Rep.",-0.006790,0.006981,0.330892,,0.000160,-0.006949,0.006877
ZMB,Zambia,-0.006751,0.006816,0.322089,,0.000198,-0.006949,0.006877
NGA,Nigeria,-0.006743,0.006864,0.326081,,0.000207,-0.006949,0.006877
MMR,Myanmar,-0.006710,0.006847,0.327195,,0.000239,-0.006949,0.006877
DJI,Djibouti,-0.006666,0.007018,0.342358,,0.000284,-0.006949,0.006877
AZE,Azerbaijan,-0.006662,0.006969,0.339283,,0.000288,-0.006949,0.006877
AGO,Angola,-0.006652,0.006961,0.339441,,0.000298,-0.006949,0.006877
DEU,Germany,-0.006616,0.006991,0.344137,,0.000333,-0.006949,0.006877
NLD,Netherlands,-0.006536,0.006999,0.350531,,0.000413,-0.006949,0.006877
FRA,France,-0.006329,0.007176,0.377898,,0.000620,-0.006949,0.006877
DZA,Algeria,-0.005801,0.006961,0.404798,,0.001149,-0.006949,0.006877
KGZ,Kyrgyz Republic,-0.005776,0.007067,0.413844,,0.001173,-0.006949,0.006877
ARM,Armenia,-0.005707,0.007279,0.433206,,0.001243,-0.006949,0.006877
SAU,Saudi Arabia,-0.001274,0.003940,0.746455,,0.005675,-0.006949,0.006877
