Economy,Year,Economy Code,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Estonia,2014,EST,15.418
Eswatini,2014,SWZ,79.133
Ethiopia,2014,ETH,82.682
Faroe Islands,2014,FRO,10.480
Fiji,2014,FJI,28.784
Finland,2014,FIN,7.352
France,2014,FRA,8.843
French Polynesia,2014,PYF,39.846
Gabon,2014,GAB,104.465
"Gambia, The",2014,GMB,81.725
Georgia,2014,GEO,50.878
Germany,2014,DEU,7.895
Ghana,2014,GHA,72.556
Gibraltar,2014,GIB,11.279
Greece,2014,GRC,8.194
Greenland,2014,GRL,40.515
Grenada,2014,GRD,37.647
Guam,2014,GUM,46.815
Guatemala,2014,GTM,87.065
Guinea,2014,GIN,133.031
Guinea-Bissau,2014,GNB,102.357
Guyana,2014,GUY,80.206
Haiti,2014,HTI,58.978
Honduras,2014,HND,89.442
"Hong Kong SAR, China",2014,HKG,3.215
Hungary,2014,HUN,23.668
Iceland,2014,ISL,8.190
India,2014,IND,28.806
Indonesia,2014,IDN,40.126
"Iran, Islamic Rep.",2014,IRN,38.569
Iraq,2014,IRQ,82.270
Ireland,2014,IRL,8.550
Isle of Man,2014,IMN,10.646
Israel,2014,ISR,10.092
Italy,2014,ITA,5.593
Jamaica,2014,JAM,47.584
Japan,2014,JPN,4.325
Jordan,2014,JOR,32.551
Kazakhstan,2014,KAZ,35.779
Kenya,2014,KEN,89.953
Kiribati,2014,KIR,49.826
"Korea, Dem. People's Rep.",2014,PRK,0.612
"Korea, Rep.",2014,KOR,1.797
Kosovo,2014,XKX,10.956
Kuwait,2014,KWT,7.966
Kyrgyz Republic,2014,KGZ,45.664
Lao PDR,2014,LAO,84.405
Latvia,2014,LVA,18.679
Lebanon,2014,LBN,22.719
Lesotho,2014,LSO,85.643
Liberia,2014,LBR,141.648
Libya,2014,LBY,7.619
Liechtenstein,2014,LIE,2.766
Lithuania,2014,LTU,14.171
Luxembourg,2014,LUX,5.622
"Macao SAR, China",2014,MAC,2.729
Madagascar,2014,MDG,136.755
Malawi,2014,MWI,132.107
Malaysia,2014,MYS,12.866
Maldives,2014,MDV,12.978
Mali,2014,MLI,161.419
Malta,2014,MLT,13.424
Marshall Islands,2014,MHL,74.803
Mauritania,2014,MRT,99.962
Mauritius,2014,MUS,24.774
Mexico,2014,MEX,74.356
"Micronesia, Fed. Sts.",2014,FSM,47.844
Moldova,2014,MDA,34.504
Monaco,2014,MCO,10.921
Mongolia,2014,MNG,28.771
Montenegro,2014,MNE,11.800
Morocco,2014,MAR,29.112
Mozambique,2014,MOZ,170.375
Myanmar,2014,MMR,34.917
Namibia,2014,NAM,76.954
Nauru,2014,NRU,87.732
Nepal,2014,NPL,84.501
Netherlands,2014,NLD,3.673
New Caledonia,2014,NCL,19.035
New Zealand,2014,NZL,19.249
Nicaragua,2014,NIC,103.165
Niger,2014,NER,180.056
Nigeria,2014,NGA,123.591
North Macedonia,2014,MKD,20.393
Northern Mariana Islands,2014,MNP,40.230
Norway,2014,NOR,5.084
Oman,2014,OMN,15.360
Pakistan,2014,PAK,49.784
Palau,2014,PLW,29.099
Panama,2014,PAN,90.163
Papua New Guinea,2014,PNG,64.396
Paraguay,2014,PRY,77.096
Peru,2014,PER,57.045
Philippines,2014,PHL,55.117
Poland,2014,POL,13.612
Portugal,2014,PRT,8.976
Puerto Rico,2014,PRI,40.500
Qatar,2014,QAT,11.101
Romania,2014,ROU,36.278
Russian Federation,2014,RUS,27.168
Rwanda,2014,RWA,39.770
Samoa,2014,WSM,51.280
San Marino,2014,SMR,1.398
Sao Tome and Principe,2014,STP,105.161
Saudi Arabia,2014,SAU,15.908
Senegal,2014,SEN,75.011
Serbia,2014,SRB,18.192
Seychelles,2014,SYC,56.880
Sierra Leone,2014,SLE,122.262
Singapore,2014,SGP,2.995
Sint Maarten (Dutch part),2014,SXM,30.236
Slovak Republic,2014,SVK,23.986
Slovenia,2014,SVN,4.906
Solomon Islands,2014,SLB,60.574
Somalia,2014,SOM,133.685
South Africa,2014,ZAF,70.224
South Sudan,2014,SSD,110.093
Spain,2014,ESP,8.073
Sri Lanka,2014,LKA,18.080
St. Kitts and Nevis,2014,KNA,40.821
St. Lucia,2014,LCA,38.710
St. Martin (French part),2014,MAF,18.717
St. Vincent and the Grenadines,2014,VCT,64.473
Sudan,2014,SDN,80.055
Suriname,2014,SUR,59.974
Sweden,2014,SWE,5.288
Switzerland,2014,CHE,2.963
Syrian Arab Republic,2014,SYR,44.246
Tajikistan,2014,TJK,48.899
Tanzania,2014,TZA,124.920
Thailand,2014,THA,50.791
Timor-Leste,2014,TLS,38.949
Togo,2014,TGO,84.943
Tonga,2014,TON,26.091
Trinidad and Tobago,2014,TTO,39.416
Tunisia,2014,TUN,8.568
Turkiye,2014,TUR,27.560
Turkmenistan,2014,TKM,28.296
Turks and Caicos Islands,2014,TCA,23.260
Tuvalu,2014,TUV,32.585
Uganda,2014,UGA,128.090
Ukraine,2014,UKR,27.660
United Arab Emirates,2014,ARE,6.326
United Kingdom,2014,GBR,15.803
United States,2014,USA,24.192
Uruguay,2014,URY,58.229
Uzbekistan,2014,UZB,26.314
Vanuatu,2014,VUT,75.317
"Venezuela, RB",2014,VEN,91.955
Vietnam,2014,VNM,42.212
Virgin Islands (U.S.),2014,VIR,40.472
West Bank and Gaza,2014,PSE,48.213
"Yemen, Rep.",2014,YEM,72.711
Zambia,2014,ZMB,128.961
Zimbabwe,2014,ZWE,105.623
