Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
"Hong Kong SAR, China",2013,HKG,86.720
Hungary,2013,HUN,79.100
Iceland,2013,ISL,83.700
India,2013,IND,70.151
Indonesia,2013,IDN,70.971
"Iran, Islamic Rep.",2013,IRN,77.285
Iraq,2013,IRQ,71.234
Ireland,2013,IRL,83.100
Isle of Man,2013,IMN,81.650
Israel,2013,ISR,83.900
Italy,2013,ITA,85.200
Jamaica,2013,JAM,74.536
Japan,2013,JPN,86.610
Jordan,2013,JOR,76.569
Kazakhstan,2013,KAZ,75.526
Kenya,2013,KEN,63.615
Kiribati,2013,KIR,67.476
"Korea, Dem. People's Rep.",2013,PRK,74.304
"Korea, Rep.",2013,KOR,84.600
Kosovo,2013,XKX,78.380
Kuwait,2013,KWT,80.178
Kyrgyz Republic,2013,KGZ,74.300
Lao PDR,2013,LAO,68.001
Latvia,2013,LVA,78.900
Lebanon,2013,LBN,79.861
Lesotho,2013,LSO,51.959
Liberia,2013,LBR,61.158
Libya,2013,LBY,75.078
Liechtenstein,2013,LIE,83.900
Lithuania,2013,LTU,79.600
Luxembourg,2013,LUX,83.900
"Macao SAR, China",2013,MAC,86.000
Madagascar,2013,MDG,64.789
Malawi,2013,MWI,63.557
Malaysia,2013,MYS,78.133
Maldives,2013,MDV,79.507
Mali,2013,MLI,58.146
Malta,2013,MLT,84.000
Marshall Islands,2013,MHL,67.227
Mauritania,2013,MRT,68.090
Mauritius,2013,MUS,77.500
Mexico,2013,MEX,76.819
"Micronesia, Fed. Sts.",2013,FSM,68.180
Moldova,2013,MDA,74.554
Monaco,2013,MCO,87.914
Mongolia,2013,MNG,75.010
Montenegro,2013,MNE,79.000
Morocco,2013,MAR,73.961
Mozambique,2013,MOZ,58.897
Myanmar,2013,MMR,67.595
Namibia,2013,NAM,61.478
Nauru,2013,NRU,64.093
Nepal,2013,NPL,68.975
Netherlands,2013,NLD,83.200
New Caledonia,2013,NCL,79.957
New Zealand,2013,NZL,83.300
Nicaragua,2013,NIC,75.507
Niger,2013,NER,59.042
Nigeria,2013,NGA,52.178
North Macedonia,2013,MKD,77.500
Northern Mariana Islands,2013,MNP,79.512
Norway,2013,NOR,83.800
Oman,2013,OMN,80.710
Pakistan,2013,PAK,67.533
Palau,2013,PLW,72.618
Panama,2013,PAN,80.355
Papua New Guinea,2013,PNG,66.762
Paraguay,2013,PRY,76.233
Peru,2013,PER,76.922
Philippines,2013,PHL,72.332
Poland,2013,POL,81.200
Portugal,2013,PRT,84.000
Puerto Rico,2013,PRI,83.530
Qatar,2013,QAT,82.019
Romania,2013,ROU,78.700
Russian Federation,2013,RUS,76.300
Rwanda,2013,RWA,66.510
Samoa,2013,WSM,73.598
San Marino,2013,SMR,85.933
Sao Tome and Principe,2013,STP,67.976
Saudi Arabia,2013,SAU,78.792
Senegal,2013,SEN,67.664
Serbia,2013,SRB,77.900
Seychelles,2013,SYC,76.500
Sierra Leone,2013,SLE,54.954
Singapore,2013,SGP,84.500
Sint Maarten (Dutch part),2013,SXM,78.547
Slovak Republic,2013,SVK,80.100
Slovenia,2013,SVN,83.600
Solomon Islands,2013,SLB,70.771
Somalia,2013,SOM,55.964
South Africa,2013,ZAF,65.244
South Sudan,2013,SSD,59.711
Spain,2013,ESP,86.100
Sri Lanka,2013,LKA,78.934
St. Kitts and Nevis,2013,KNA,74.859
St. Lucia,2013,LCA,75.569
St. Martin (French part),2013,MAF,83.197
St. Vincent and the Grenadines,2013,VCT,73.626
Sudan,2013,SDN,66.566
Suriname,2013,SUR,73.571
Sweden,2013,SWE,83.800
Switzerland,2013,CHE,85.000
Syrian Arab Republic,2013,SYR,70.871
Tajikistan,2013,TJK,71.966
Tanzania,2013,TZA,64.784
Thailand,2013,THA,80.109
Timor-Leste,2013,TLS,66.433
Togo,2013,TGO,58.641
Tonga,2013,TON,75.448
Trinidad and Tobago,2013,TTO,75.716
Tunisia,2013,TUN,77.153
Turkiye,2013,TUR,79.365
Turkmenistan,2013,TKM,72.056
Turks and Caicos Islands,2013,TCA,79.261
Tuvalu,2013,TUV,68.436
Uganda,2013,UGA,64.669
Ukraine,2013,UKR,76.424
United Arab Emirates,2013,ARE,83.046
United Kingdom,2013,GBR,82.900
United States,2013,USA,81.200
Uruguay,2013,URY,80.820
Uzbekistan,2013,UZB,73.634
Vanuatu,2013,VUT,72.819
"Venezuela, RB",2013,VEN,77.473
Vietnam,2013,VNM,78.524
Virgin Islands (U.S.),2013,VIR,82.200
West Bank and Gaza,2013,PSE,76.165
"Yemen, Rep.",2013,YEM,69.909
Zambia,2013,ZMB,61.161
Zimbabwe,2013,ZWE,58.171
