Economy,Year,Economy Code,Proportion of seats held by women in national parliaments (%)
"Korea, Dem. People's Rep.",2013,PRK,15.575
"Korea, Rep.",2013,KOR,15.667
Kosovo,2013,XKX,
Kuwait,2013,KWT,6.154
Kyrgyz Republic,2013,KGZ,23.333
Lao PDR,2013,LAO,25.000
Latvia,2013,LVA,23.000
Lebanon,2013,LBN,3.125
Lesotho,2013,LSO,26.667
Liberia,2013,LBR,10.959
Libya,2013,LBY,16.500
Liechtenstein,2013,LIE,20.000
Lithuania,2013,LTU,24.113
Luxembourg,2013,LUX,28.333
"Macao SAR, China",2013,MAC,
Madagascar,2013,MDG,17.486
Malawi,2013,MWI,22.280
Malaysia,2013,MYS,10.360
Maldives,2013,MDV,6.494
Mali,2013,MLI,
Malta,2013,MLT,14.286
Marshall Islands,2013,MHL,3.030
Mauritania,2013,MRT,
Mauritius,2013,MUS,18.841
Mexico,2013,MEX,36.800
"Micronesia, Fed. Sts.",2013,FSM,0.000
Moldova,2013,MDA,19.802
Monaco,2013,MCO,20.833
Mongolia,2013,MNG,14.865
Montenegro,2013,MNE,16.049
Morocco,2013,MAR,16.962
Mozambique,2013,MOZ,39.200
Myanmar,2013,MMR,6.032
Namibia,2013,NAM,24.359
Nauru,2013,NRU,5.263
Nepal,2013,NPL,
Netherlands,2013,NLD,38.667
New Caledonia,2013,NCL,
New Zealand,2013,NZL,32.231
Nicaragua,2013,NIC,40.217
Niger,2013,NER,13.274
Nigeria,2013,NGA,6.667
North Macedonia,2013,MKD,34.146
Northern Mariana Islands,2013,MNP,
Norway,2013,NOR,39.645
Oman,2013,OMN,1.190
Pakistan,2013,PAK,20.743
Palau,2013,PLW,0.000
Panama,2013,PAN,8.451
Papua New Guinea,2013,PNG,2.703
Paraguay,2013,PRY,17.500
Peru,2013,PER,21.538
Philippines,2013,PHL,27.336
Poland,2013,POL,23.696
Portugal,2013,PRT,31.304
Puerto Rico,2013,PRI,
Qatar,2013,QAT,0.000
Romania,2013,ROU,13.350
Russian Federation,2013,RUS,13.556
Rwanda,2013,RWA,63.750
Samoa,2013,WSM,4.082
San Marino,2013,SMR,18.333
Sao Tome and Principe,2013,STP,18.182
Saudi Arabia,2013,SAU,19.868
Senegal,2013,SEN,42.667
Serbia,2013,SRB,33.200
Seychelles,2013,SYC,43.750
Sierra Leone,2013,SLE,12.397
Singapore,2013,SGP,24.242
Sint Maarten (Dutch part),2013,SXM,
Slovak Republic,2013,SVK,18.667
Slovenia,2013,SVN,32.222
Solomon Islands,2013,SLB,2.000
Somalia,2013,SOM,13.818
South Africa,2013,ZAF,42.250
South Sudan,2013,SSD,26.506
Spain,2013,ESP,36.000
Sri Lanka,2013,LKA,5.778
St. Kitts and Nevis,2013,KNA,6.667
St. Lucia,2013,LCA,16.667
St. Martin (French part),2013,MAF,
St. Vincent and the Grenadines,2013,VCT,13.043
Sudan,2013,SDN,24.576
Suriname,2013,SUR,11.765
Sweden,2013,SWE,44.986
Switzerland,2013,CHE,31.000
Syrian Arab Republic,2013,SYR,12.000
Tajikistan,2013,TJK,19.048
Tanzania,2013,TZA,36.000
Thailand,2013,THA,15.800
Timor-Leste,2013,TLS,38.462
Togo,2013,TGO,15.385
Tonga,2013,TON,3.571
Trinidad and Tobago,2013,TTO,28.571
Tunisia,2013,TUN,26.728
Turkiye,2013,TUR,14.416
Turkmenistan,2013,TKM,16.800
Turks and Caicos Islands,2013,TCA,
Tuvalu,2013,TUV,6.667
Uganda,2013,UGA,34.974
Ukraine,2013,UKR,9.438
United Arab Emirates,2013,ARE,17.500
United Kingdom,2013,GBR,22.462
United States,2013,USA,17.824
Uruguay,2013,URY,12.121
Uzbekistan,2013,UZB,22.000
Vanuatu,2013,VUT,0.000
"Venezuela, RB",2013,VEN,16.970
Vietnam,2013,VNM,24.400
Virgin Islands (U.S.),2013,VIR,
West Bank and Gaza,2013,PSE,
"Yemen, Rep.",2013,YEM,0.332
Zambia,2013,ZMB,11.465
Zimbabwe,2013,ZWE,31.481
