Economy,Year,Economy Code,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
Sint Maarten (Dutch part),2017,SXM,
Slovak Republic,2017,SVK,5.000
Slovenia,2017,SVN,5.000
Solomon Islands,2017,SLB,140.000
Somalia,2017,SOM,716.000
South Africa,2017,ZAF,134.000
South Sudan,2017,SSD,1662.000
Spain,2017,ESP,3.000
Sri Lanka,2017,LKA,21.000
St. Kitts and Nevis,2017,KNA,74.000
St. Lucia,2017,LCA,43.000
St. Martin (French part),2017,MAF,
St. Vincent and the Grenadines,2017,VCT,58.000
Sudan,2017,SDN,277.000
Suriname,2017,SUR,105.000
Sweden,2017,SWE,5.000
Switzerland,2017,CHE,6.000
Syrian Arab Republic,2017,SYR,23.000
Tajikistan,2017,TJK,17.000
Tanzania,2017,TZA,345.000
Thailand,2017,THA,34.000
Timor-Leste,2017,TLS,269.000
Togo,2017,TGO,443.000
Tonga,2017,TON,77.000
Trinidad and Tobago,2017,TTO,51.000
Tunisia,2017,TUN,38.000
Turkiye,2017,TUR,18.000
Turkmenistan,2017,TKM,5.000
Turks and Caicos Islands,2017,TCA,
Tuvalu,2017,TUV,171.000
Uganda,2017,UGA,246.000
Ukraine,2017,UKR,16.000
United Arab Emirates,2017,ARE,3.000
United Kingdom,2017,GBR,9.000
United States,2017,USA,18.000
Uruguay,2017,URY,16.000
Uzbekistan,2017,UZB,30.000
Vanuatu,2017,VUT,107.000
"Venezuela, RB",2017,VEN,195.000
Vietnam,2017,VNM,55.000
Virgin Islands (U.S.),2017,VIR,
West Bank and Gaza,2017,PSE,21.000
"Yemen, Rep.",2017,YEM,142.000
Zambia,2017,ZMB,141.000
Zimbabwe,2017,ZWE,389.000
