Economy,Year,Economy Code,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
Kenya,2014,KEN,203.000
Kiribati,2014,KIR,91.000
"Korea, Dem. People's Rep.",2014,PRK,73.000
"Korea, Rep.",2014,KOR,7.000
Kosovo,2014,XKX,
Kuwait,2014,KWT,8.000
Kyrgyz Republic,2014,KGZ,62.000
Lao PDR,2014,LAO,193.000
Latvia,2014,LVA,22.000
Lebanon,2014,LBN,14.000
Lesotho,2014,LSO,707.000
Liberia,2014,LBR,801.000
Libya,2014,LBY,77.000
Liechtenstein,2014,LIE,
Lithuania,2014,LTU,9.000
Luxembourg,2014,LUX,13.000
"Macao SAR, China",2014,MAC,
Madagascar,2014,MDG,477.000
Malawi,2014,MWI,367.000
Malaysia,2014,MYS,30.000
Maldives,2014,MDV,43.000
Mali,2014,MLI,507.000
Malta,2014,MLT,8.000
Marshall Islands,2014,MHL,199.000
Mauritania,2014,MRT,484.000
Mauritius,2014,MUS,60.000
Mexico,2014,MEX,44.000
"Micronesia, Fed. Sts.",2014,FSM,178.000
Moldova,2014,MDA,20.000
Monaco,2014,MCO,5.000
Mongolia,2014,MNG,56.000
Montenegro,2014,MNE,7.000
Morocco,2014,MAR,106.000
Mozambique,2014,MOZ,210.000
Myanmar,2014,MMR,228.000
Namibia,2014,NAM,369.000
Nauru,2014,NRU,240.000
Nepal,2014,NPL,245.000
Netherlands,2014,NLD,5.000
New Caledonia,2014,NCL,
New Zealand,2014,NZL,7.000
Nicaragua,2014,NIC,83.000
Niger,2014,NER,497.000
Nigeria,2014,NGA,1155.000
North Macedonia,2014,MKD,4.000
Northern Mariana Islands,2014,MNP,
Norway,2014,NOR,2.000
Oman,2014,OMN,15.000
Pakistan,2014,PAK,211.000
Palau,2014,PLW,78.000
Panama,2014,PAN,49.000
Papua New Guinea,2014,PNG,232.000
Paraguay,2014,PRY,70.000
Peru,2014,PER,73.000
Philippines,2014,PHL,106.000
Poland,2014,POL,2.000
Portugal,2014,PRT,11.000
Puerto Rico,2014,PRI,16.000
Qatar,2014,QAT,6.000
Romania,2014,ROU,18.000
Russian Federation,2014,RUS,16.000
Rwanda,2014,RWA,301.000
Samoa,2014,WSM,106.000
San Marino,2014,SMR,8.000
Sao Tome and Principe,2014,STP,138.000
Saudi Arabia,2014,SAU,8.000
Senegal,2014,SEN,373.000
Serbia,2014,SRB,13.000
Seychelles,2014,SYC,46.000
Sierra Leone,2014,SLE,821.000
Singapore,2014,SGP,9.000
Sint Maarten (Dutch part),2014,SXM,
Slovak Republic,2014,SVK,5.000
Slovenia,2014,SVN,6.000
Solomon Islands,2014,SLB,147.000
Somalia,2014,SOM,816.000
South Africa,2014,ZAF,162.000
South Sudan,2014,SSD,1216.000
Spain,2014,ESP,4.000
Sri Lanka,2014,LKA,23.000
St. Kitts and Nevis,2014,KNA,82.000
St. Lucia,2014,LCA,49.000
St. Martin (French part),2014,MAF,
St. Vincent and the Grenadines,2014,VCT,64.000
Sudan,2014,SDN,309.000
Suriname,2014,SUR,120.000
Sweden,2014,SWE,5.000
Switzerland,2014,CHE,6.000
Syrian Arab Republic,2014,SYR,25.000
Tajikistan,2014,TJK,21.000
Tanzania,2014,TZA,454.000
Thailand,2014,THA,34.000
Timor-Leste,2014,TLS,327.000
Togo,2014,TGO,490.000
Tonga,2014,TON,80.000
Trinidad and Tobago,2014,TTO,50.000
Tunisia,2014,TUN,42.000
Turkiye,2014,TUR,20.000
Turkmenistan,2014,TKM,6.000
Turks and Caicos Islands,2014,TCA,
Tuvalu,2014,TUV,168.000
Uganda,2014,UGA,311.000
Ukraine,2014,UKR,19.000
United Arab Emirates,2014,ARE,3.000
United Kingdom,2014,GBR,9.000
United States,2014,USA,17.000
Uruguay,2014,URY,16.000
Uzbekistan,2014,UZB,32.000
Vanuatu,2014,VUT,110.000
"Venezuela, RB",2014,VEN,133.000
Vietnam,2014,VNM,59.000
Virgin Islands (U.S.),2014,VIR,
West Bank and Gaza,2014,PSE,29.000
"Yemen, Rep.",2014,YEM,134.000
Zambia,2014,ZMB,174.000
Zimbabwe,2014,ZWE,468.000
