Economy,Year,Economy Code,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Italy,2017,ITA,4.376
Jamaica,2017,JAM,40.413
Japan,2017,JPN,3.404
Jordan,2017,JOR,26.442
Kazakhstan,2017,KAZ,25.047
Kenya,2017,KEN,68.182
Kiribati,2017,KIR,49.685
"Korea, Dem. People's Rep.",2017,PRK,0.581
"Korea, Rep.",2017,KOR,1.126
Kosovo,2017,XKX,8.334
Kuwait,2017,KWT,6.031
Kyrgyz Republic,2017,KGZ,36.034
Lao PDR,2017,LAO,84.125
Latvia,2017,LVA,14.140
Lebanon,2017,LBN,22.563
Lesotho,2017,LSO,84.285
Liberia,2017,LBR,135.260
Libya,2017,LBY,7.016
Liechtenstein,2017,LIE,2.096
Lithuania,2017,LTU,12.652
Luxembourg,2017,LUX,4.558
"Macao SAR, China",2017,MAC,1.616
Madagascar,2017,MDG,135.916
Malawi,2017,MWI,123.466
Malaysia,2017,MYS,9.505
Maldives,2017,MDV,9.104
Mali,2017,MLI,154.893
Malta,2017,MLT,12.503
Marshall Islands,2017,MHL,74.461
Mauritania,2017,MRT,96.818
Mauritius,2017,MUS,24.027
Mexico,2017,MEX,64.486
"Micronesia, Fed. Sts.",2017,FSM,47.729
Moldova,2017,MDA,32.368
Monaco,2017,MCO,10.513
Mongolia,2017,MNG,31.975
Montenegro,2017,MNE,10.317
Morocco,2017,MAR,28.087
Mozambique,2017,MOZ,165.462
Myanmar,2017,MMR,34.860
Namibia,2017,NAM,73.644
Nauru,2017,NRU,91.365
Nepal,2017,NPL,75.975
Netherlands,2017,NLD,2.772
New Caledonia,2017,NCL,15.744
New Zealand,2017,NZL,15.069
Nicaragua,2017,NIC,99.952
Niger,2017,NER,170.649
Nigeria,2017,NGA,100.798
North Macedonia,2017,MKD,17.732
Northern Mariana Islands,2017,MNP,30.046
Norway,2017,NOR,3.080
Oman,2017,OMN,12.779
Pakistan,2017,PAK,47.145
Palau,2017,PLW,30.058
Panama,2017,PAN,79.106
Papua New Guinea,2017,PNG,58.478
Paraguay,2017,PRY,75.873
Peru,2017,PER,50.691
Philippines,2017,PHL,46.852
Poland,2017,POL,11.518
Portugal,2017,PRT,7.805
Puerto Rico,2017,PRI,24.933
Qatar,2017,QAT,8.664
Romania,2017,ROU,38.160
Russian Federation,2017,RUS,18.242
Rwanda,2017,RWA,34.251
Samoa,2017,WSM,47.852
San Marino,2017,SMR,1.062
Sao Tome and Principe,2017,STP,93.609
Saudi Arabia,2017,SAU,14.657
Senegal,2017,SEN,69.121
Serbia,2017,SRB,14.958
Seychelles,2017,SYC,59.744
Sierra Leone,2017,SLE,107.017
Singapore,2017,SGP,2.328
Sint Maarten (Dutch part),2017,SXM,23.199
Slovak Republic,2017,SVK,27.017
Slovenia,2017,SVN,4.125
Solomon Islands,2017,SLB,56.705
Somalia,2017,SOM,128.549
South Africa,2017,ZAF,55.999
South Sudan,2017,SSD,102.781
Spain,2017,ESP,6.932
Sri Lanka,2017,LKA,16.218
St. Kitts and Nevis,2017,KNA,40.456
St. Lucia,2017,LCA,33.812
St. Martin (French part),2017,MAF,16.197
St. Vincent and the Grenadines,2017,VCT,56.256
Sudan,2017,SDN,75.890
Suriname,2017,SUR,56.039
Sweden,2017,SWE,4.254
Switzerland,2017,CHE,2.494
Syrian Arab Republic,2017,SYR,41.428
Tajikistan,2017,TJK,39.046
Tanzania,2017,TZA,122.023
Thailand,2017,THA,39.181
Timor-Leste,2017,TLS,33.187
Togo,2017,TGO,83.278
Tonga,2017,TON,25.430
Trinidad and Tobago,2017,TTO,38.585
Tunisia,2017,TUN,7.408
Turkiye,2017,TUR,22.332
Turkmenistan,2017,TKM,26.888
Turks and Caicos Islands,2017,TCA,21.433
Tuvalu,2017,TUV,32.409
Uganda,2017,UGA,118.530
Ukraine,2017,UKR,21.711
United Arab Emirates,2017,ARE,4.547
United Kingdom,2017,GBR,12.978
United States,2017,USA,18.491
Uruguay,2017,URY,44.280
Uzbekistan,2017,UZB,21.057
Vanuatu,2017,VUT,72.479
"Venezuela, RB",2017,VEN,79.917
Vietnam,2017,VNM,37.703
Virgin Islands (U.S.),2017,VIR,33.162
West Bank and Gaza,2017,PSE,43.498
"Yemen, Rep.",2017,YEM,73.291
Zambia,2017,ZMB,126.058
Zimbabwe,2017,ZWE,99.053
