Economy,Year,Economy Code,Proportion of seats held by women in national parliaments (%)
Singapore,2020,SGP,29.474
Sint Maarten (Dutch part),2020,SXM,
Slovak Republic,2020,SVK,22.667
Slovenia,2020,SVN,27.778
Solomon Islands,2020,SLB,6.383
Somalia,2020,SOM,24.364
South Africa,2020,ZAF,46.750
South Sudan,2020,SSD,28.460
Spain,2020,ESP,44.000
Sri Lanka,2020,LKA,5.381
St. Kitts and Nevis,2020,KNA,25.000
St. Lucia,2020,LCA,16.667
St. Martin (French part),2020,MAF,
St. Vincent and the Grenadines,2020,VCT,18.182
Sudan,2020,SDN,
Suriname,2020,SUR,29.412
Sweden,2020,SWE,46.991
Switzerland,2020,CHE,41.500
Syrian Arab Republic,2020,SYR,11.200
Tajikistan,2020,TJK,23.810
Tanzania,2020,TZA,36.719
Thailand,2020,THA,15.746
Timor-Leste,2020,TLS,38.462
Togo,2020,TGO,18.681
Tonga,2020,TON,7.407
Trinidad and Tobago,2020,TTO,26.190
Tunisia,2020,TUN,24.885
Turkiye,2020,TUR,17.317
Turkmenistan,2020,TKM,25.000
Turks and Caicos Islands,2020,TCA,
Tuvalu,2020,TUV,6.250
Uganda,2020,UGA,34.858
Ukraine,2020,UKR,20.804
United Arab Emirates,2020,ARE,50.000
United Kingdom,2020,GBR,33.846
United States,2020,USA,27.465
Uruguay,2020,URY,21.212
Uzbekistan,2020,UZB,32.000
Vanuatu,2020,VUT,0.000
"Venezuela, RB",2020,VEN,22.156
Vietnam,2020,VNM,26.721
Virgin Islands (U.S.),2020,VIR,
West Bank and Gaza,2020,PSE,
"Yemen, Rep.",2020,YEM,0.332
Zambia,2020,ZMB,16.766
Zimbabwe,2020,ZWE,31.852
