Economy,Year,Economy Code,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
Morocco,2016,MAR,94.000
Mozambique,2016,MOZ,202.000
Myanmar,2016,MMR,215.000
Namibia,2016,NAM,250.000
Nauru,2016,NRU,248.000
Nepal,2016,NPL,214.000
Netherlands,2016,NLD,5.000
New Caledonia,2016,NCL,
New Zealand,2016,NZL,8.000
Nicaragua,2016,NIC,77.000
Niger,2016,NER,450.000
Nigeria,2016,NGA,1155.000
North Macedonia,2016,MKD,4.000
Northern Mariana Islands,2016,MNP,
Norway,2016,NOR,2.000
Oman,2016,OMN,14.000
Pakistan,2016,PAK,193.000
Palau,2016,PLW,80.000
Panama,2016,PAN,47.000
Papua New Guinea,2016,PNG,214.000
Paraguay,2016,PRY,60.000
Peru,2016,PER,69.000
Philippines,2016,PHL,98.000
Poland,2016,POL,2.000
Portugal,2016,PRT,12.000
Puerto Rico,2016,PRI,15.000
Qatar,2016,QAT,5.000
Romania,2016,ROU,17.000
Russian Federation,2016,RUS,14.000
Rwanda,2016,RWA,278.000
Samoa,2016,WSM,108.000
San Marino,2016,SMR,7.000
Sao Tome and Principe,2016,STP,119.000
Saudi Arabia,2016,SAU,8.000
Senegal,2016,SEN,345.000
Serbia,2016,SRB,13.000
Seychelles,2016,SYC,47.000
Sierra Leone,2016,SLE,633.000
Singapore,2016,SGP,8.000
Sint Maarten (Dutch part),2016,SXM,
Slovak Republic,2016,SVK,5.000
Slovenia,2016,SVN,5.000
Solomon Islands,2016,SLB,143.000
Somalia,2016,SOM,754.000
South Africa,2016,ZAF,141.000
South Sudan,2016,SSD,1629.000
Spain,2016,ESP,3.000
Sri Lanka,2016,LKA,22.000
St. Kitts and Nevis,2016,KNA,75.000
St. Lucia,2016,LCA,46.000
St. Martin (French part),2016,MAF,
St. Vincent and the Grenadines,2016,VCT,52.000
Sudan,2016,SDN,288.000
Suriname,2016,SUR,109.000
Sweden,2016,SWE,5.000
Switzerland,2016,CHE,7.000
Syrian Arab Republic,2016,SYR,23.000
Tajikistan,2016,TJK,20.000
Tanzania,2016,TZA,396.000
Thailand,2016,THA,34.000
Timor-Leste,2016,TLS,287.000
Togo,2016,TGO,460.000
Tonga,2016,TON,78.000
Trinidad and Tobago,2016,TTO,51.000
Tunisia,2016,TUN,39.000
Turkiye,2016,TUR,19.000
Turkmenistan,2016,TKM,6.000
Turks and Caicos Islands,2016,TCA,
Tuvalu,2016,TUV,170.000
Uganda,2016,UGA,272.000
Ukraine,2016,UKR,17.000
United Arab Emirates,2016,ARE,3.000
United Kingdom,2016,GBR,9.000
United States,2016,USA,18.000
Uruguay,2016,URY,16.000
Uzbekistan,2016,UZB,31.000
Vanuatu,2016,VUT,107.000
"Venezuela, RB",2016,VEN,162.000
Vietnam,2016,VNM,56.000
Virgin Islands (U.S.),2016,VIR,
West Bank and Gaza,2016,PSE,23.000
"Yemen, Rep.",2016,YEM,134.000
Zambia,2016,ZMB,158.000
Zimbabwe,2016,ZWE,411.000
